Mix ID, Cement(kg/m3), Water(kg/m3),Coarse aggregate(kg/m3),Fine aggregate(kg/m3), FA (kg/m3),SF (kg/m3),GGBFS (kg/m3),SP (kg/m3),Cylinder compressive strength (MPa),Splitting tensile strength (MPa),Flexural strength (MPa),Elastic modulus (GPa),Chloride permeability (Coulomb) 28d,Chloride permeability (Coulomb) 90d,Chloride permeability (Coulomb) 180d,Drying shrinkage (με) 7d,Drying shrinkage (με) 28d,Drying shrinkage (με) 90d,Drying shrinkage (με)120d,Creep (με) 28d,Creep (με) 90d,Creep (με) 150d,Abrasion (mm) 28 d,Reference
R27_M28,220,176,903,703,165,0,165,4.44,58.99,-1,-1,-1,-1,-1,-1,-1,325,-1,-1,-1,-1,-1,-1,
R27_M38,440,176,924,720,41.25,27.5,41.25,8,66.81,-1,-1,-1,-1,-1,-1,275,390,-1,-1,-1,-1,-1,-1,
R27_M39,330,176,913,711,82.5,55,82.5,7,61.79,-1,-1,-1,-1,-1,-1,240,370,-1,-1,-1,-1,-1,-1,
R27_M45,360,198,855,813,90,0,0,3.2,44.28,-1,-1,-1,-1,-1,-1,199,404,-1,-1,-1,-1,-1,-1,
R27_M46,270,198,842,801,180,0,0,2.96,37.99,-1,-1,-1,-1,-1,-1,198,368,-1,-1,-1,-1,-1,-1,
R27_M47,180,198,829,788,270,0,0,3,25.75,-1,-1,-1,-1,-1,-1,197,350,-1,-1,-1,-1,-1,-1,
R27_M48,360,198,866,823,0,0,90,3.7,50.15,-1,-1,-1,-1,-1,-1,199,423,-1,-1,-1,-1,-1,-1,
R27_M49,270,198,863,821,0,0,180,3.44,49.3,-1,-1,-1,-1,-1,-1,221,356,-1,-1,-1,-1,-1,-1,
R27_M50,180,198,860,819,0,0,270,2.8,47.77,-1,-1,-1,-1,-1,-1,220,375,-1,-1,-1,-1,-1,-1,
R27_M51,427.5,198,865,823,0,22.5,0,4.88,51.95,-1,-1,-1,-1,-1,-1,221,400,-1,-1,-1,-1,-1,-1,
R27_M52,405,198,861,819,0,45,0,5.2,49.72,-1,-1,-1,-1,-1,-1,221,425,-1,-1,-1,-1,-1,-1,
R27_M53,382.5,198,858,816,0,67.5,0,7.76,60.43,-1,-1,-1,-1,-1,-1,225,443,-1,-1,-1,-1,-1,-1,
R27_M54,360,198,855,813,67.5,22.5,0,4.24,52.27,-1,-1,-1,-1,-1,-1,170,-1,-1,-1,-1,-1,-1,-1,
R27_M55,270,198,841,801,135,45,0,4.52,39.86,-1,-1,-1,-1,-1,-1,178,-1,-1,-1,-1,-1,-1,-1,
R27_M56,180,198,828,788,202.5,67.5,0,4.82,31.79,-1,-1,-1,-1,-1,-1,185,-1,-1,-1,-1,-1,-1,-1,
R27_M57,360,198,863,820,0,22.5,67,4,51.08,-1,-1,-1,-1,-1,-1,200,-1,-1,-1,-1,-1,-1,-1,
R27_M58,270,198,857,816,0,45,135,4.56,49.55,-1,-1,-1,-1,-1,-1,200,-1,-1,-1,-1,-1,-1,-1,
R27_M59,180,198,852,810,0,67.5,202.5,5.76,48.96,-1,-1,-1,-1,-1,-1,198,-1,-1,-1,-1,-1,-1,-1,
R27_M60,360,198,860,819,45,0,45,3.2,53.04,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R27_M61,270,198,852,811,90,0,90,3.2,45.56,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R27_M62,180,198,845,803,135,0,135,2.8,39.01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R27_M63,360,198,859,817,33.75,22.5,33.75,4.2,51.51,-1,-1,-1,-1,-1,-1,156,400,-1,-1,-1,-1,-1,-1,
